timestamp,model,role,task,benchmark,tier,score,score_reason,wall_seconds,prompt_chars,approx_prompt_tokens,api_prompt_tokens,completion_tokens,total_tokens,finish_reason,output_mode,response_chars,error,prompt_file,response_file,raw_response_file,memory_file
2026-05-04T05:34:41.920853+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,needle_position-64k,longctx-retrieval,64k,5,all position needles found,46.455,228068,57017,51768,263,52031,stop,normal_content,784,,/opt/atom/bench/prompts/generated/needle_position-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-needle_position-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-needle_position-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:35:40.559611+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,conflict_policy-64k,longctx-conflict,64k,5,correct current model and obsolete evidence,58.638,227890,56972,48203,700,48903,length,normal_content,1383,,/opt/atom/bench/prompts/generated/conflict_policy-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-conflict_policy-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-conflict_policy-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:37:00.954838+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,repo_architecture-64k,longctx-code,64k,5,good architecture coverage with real files,80.394,231325,57831,59393,841,60234,stop,normal_content,3866,,/opt/atom/bench/prompts/generated/repo_architecture-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-repo_architecture-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-repo_architecture-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:38:44.243750+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,duplicate_logic-64k,longctx-code,64k,4,text answer found duplicate group but JSON invalid,103.288,230338,57584,59138,1400,60538,length,normal_content,5615,,/opt/atom/bench/prompts/generated/duplicate_logic-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-duplicate_logic-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-duplicate_logic-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:40:02.441368+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,bug_risk-64k,longctx-code,64k,4,identified core cross-file risk,78.197,231232,57808,59370,771,60141,stop,normal_content,3259,,/opt/atom/bench/prompts/generated/bug_risk-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-bug_risk-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-bug_risk-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:41:14.057614+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,refactor_plan-64k,longctx-code,64k,4,wrote code instead of plan,71.616,231360,57840,59398,599,59997,stop,normal_content,2834,,/opt/atom/bench/prompts/generated/refactor_plan-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-refactor_plan-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-refactor_plan-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:42:46.041264+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,finance_memo-64k,longctx-finance,64k,5,good memo with explicit contradictions,91.983,203786,50946,57686,1179,58865,stop,normal_content,4950,,/opt/atom/bench/prompts/generated/finance_memo-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-finance_memo-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-finance_memo-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:43:29.481731+00:00,unsloth-qwen3-coder-30b-a3b-q4-64k,hermes_code_daily,json_rules-64k,longctx-instructions,64k,5,valid JSON and rule-compliant,43.44,229528,57382,48679,256,48935,stop,normal_content,863,,/opt/atom/bench/prompts/generated/json_rules-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-json_rules-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k-json_rules-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-qwen3-coder-30b-a3b-q4-64k.csv
2026-05-04T05:44:48.882514+00:00,unsloth-granite-4.1-8b-q5-64k,research_64k,needle_position-64k,longctx-retrieval,64k,5,all position needles found,39.407,228068,57017,47603,90,47693,stop,normal_content,249,,/opt/atom/bench/prompts/generated/needle_position-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-granite-4.1-8b-q5-64k-needle_position-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-granite-4.1-8b-q5-64k-needle_position-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-granite-4.1-8b-q5-64k.csv
2026-05-04T05:45:30.461810+00:00,unsloth-granite-4.1-8b-q5-64k,research_64k,conflict_policy-64k,longctx-conflict,64k,5,correct current model and obsolete evidence,41.579,227890,56972,43979,168,44147,stop,normal_content,525,,/opt/atom/bench/prompts/generated/conflict_policy-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-granite-4.1-8b-q5-64k-conflict_policy-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-granite-4.1-8b-q5-64k-conflict_policy-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-granite-4.1-8b-q5-64k.csv
2026-05-04T05:47:25.479479+00:00,unsloth-granite-4.1-8b-q5-64k,research_64k,repo_architecture-64k,longctx-code,64k,5,good architecture coverage with real files,115.017,231325,57831,54871,1200,56071,length,normal_content,5434,,/opt/atom/bench/prompts/generated/repo_architecture-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-granite-4.1-8b-q5-64k-repo_architecture-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-granite-4.1-8b-q5-64k-repo_architecture-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-granite-4.1-8b-q5-64k.csv
2026-05-04T05:49:23.438536+00:00,unsloth-granite-4.1-8b-q5-64k,research_64k,duplicate_logic-64k,longctx-code,64k,4,text answer found duplicate group but JSON invalid,117.958,230338,57584,54636,1229,55865,stop,normal_content,5535,,/opt/atom/bench/prompts/generated/duplicate_logic-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-granite-4.1-8b-q5-64k-duplicate_logic-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-granite-4.1-8b-q5-64k-duplicate_logic-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-granite-4.1-8b-q5-64k.csv
2026-05-04T05:50:56.941851+00:00,unsloth-granite-4.1-8b-q5-64k,research_64k,bug_risk-64k,longctx-code,64k,5,identified timeout/retry/scheduler risk with file evidence,93.503,231232,57808,54848,828,55676,stop,normal_content,3864,,/opt/atom/bench/prompts/generated/bug_risk-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-granite-4.1-8b-q5-64k-bug_risk-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-granite-4.1-8b-q5-64k-bug_risk-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-granite-4.1-8b-q5-64k.csv
2026-05-04T05:52:53.480465+00:00,unsloth-granite-4.1-8b-q5-64k,research_64k,refactor_plan-64k,longctx-code,64k,3,wrote code instead of plan; missing staged plan,116.536,231360,57840,54876,1200,56076,length,normal_content,5336,,/opt/atom/bench/prompts/generated/refactor_plan-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-granite-4.1-8b-q5-64k-refactor_plan-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-granite-4.1-8b-q5-64k-refactor_plan-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-granite-4.1-8b-q5-64k.csv
2026-05-04T05:55:10.848387+00:00,unsloth-granite-4.1-8b-q5-64k,research_64k,finance_memo-64k,longctx-finance,64k,5,good memo with explicit contradictions,137.367,203786,50946,51728,1671,53399,stop,normal_content,7523,,/opt/atom/bench/prompts/generated/finance_memo-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-granite-4.1-8b-q5-64k-finance_memo-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-granite-4.1-8b-q5-64k-finance_memo-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-granite-4.1-8b-q5-64k.csv
2026-05-04T05:55:58.908284+00:00,unsloth-granite-4.1-8b-q5-64k,research_64k,json_rules-64k,longctx-instructions,64k,3,markdown fence leakage; missing models array,48.059,229528,57382,44427,272,44699,stop,normal_content,1022,,/opt/atom/bench/prompts/generated/json_rules-64k.txt,/opt/atom/bench/results/response-20260504-133310-unsloth-granite-4.1-8b-q5-64k-json_rules-64k.txt,/opt/atom/bench/results/raw-20260504-133310-unsloth-granite-4.1-8b-q5-64k-json_rules-64k.json,/opt/atom/bench/results/memory-20260504-133310-unsloth-granite-4.1-8b-q5-64k.csv
